symbol,date,twit_sentiment,twit_post_count
AAPL,2026-04-23,-0.3328127335332778,8
AAPL,2026-04-24,0.03380620820903473,14
AMD,2026-04-24,0.1686259866234409,13
AMZN,2026-04-23,0.09120481657367704,19
AMZN,2026-04-24,-0.05028682575531902,11
BAC,2026-04-14,-0.047613161840841106,8
BAC,2026-04-15,0.21288719468554196,27
BAC,2026-04-16,0.2713407060296501,7
BAC,2026-04-17,0.5897051259156973,4
BAC,2026-04-18,-0.17741702468578324,2
BAC,2026-04-20,-0.6949116711276904,2
BAC,2026-04-21,-0.006441659247613585,4
BAC,2026-04-22,0.005274186210384224,1
BAC,2026-04-23,0.4259499295389113,2
BAC,2026-04-24,0.7840931103542266,1
CVX,2026-04-13,0.20093485304390324,3
CVX,2026-04-14,-0.28261985546278034,2
CVX,2026-04-15,0.33324947726744375,6
CVX,2026-04-16,0.18019579506241323,2
CVX,2026-04-17,0.062013434884984675,6
CVX,2026-04-18,-0.6348677755255211,2
CVX,2026-04-19,-0.6506643629043195,2
CVX,2026-04-21,0.32438931945268823,2
CVX,2026-04-22,0.510274511347238,1
CVX,2026-04-23,-0.942434647373322,1
CVX,2026-04-24,-0.4625019053369622,2
DIS,2026-04-14,0.26333103621791215,3
DIS,2026-04-15,-0.1647487358790679,4
DIS,2026-04-16,-0.41775273551488434,2
DIS,2026-04-17,0.02584993319449158,8
DIS,2026-04-18,-0.16074317875755872,2
DIS,2026-04-19,0.9517041589250692,1
DIS,2026-04-20,0.4521826674453231,1
DIS,2026-04-21,0.13961310311764072,3
DIS,2026-04-22,-0.8629708138376243,2
DIS,2026-04-23,0.07247003760963618,3
DIS,2026-04-24,0.04448652010960874,1
GOOGL,2026-04-22,-0.14978121371769837,6
GOOGL,2026-04-23,0.03751465292851615,21
GOOGL,2026-04-24,0.0485731456315586,6
GS,2026-04-14,-0.2138045506664792,1
GS,2026-04-15,0.004684510707693379,8
GS,2026-04-16,0.2992657980944293,1
GS,2026-04-17,0.0106597060608139,4
GS,2026-04-18,-0.5514613810788804,1
GS,2026-04-20,0.3438564571952938,2
GS,2026-04-21,0.09746757873317224,1
GS,2026-04-22,-0.5345785263810974,4
GS,2026-04-23,0.009453533202199216,3
INTC,2026-04-24,-0.15884141246051384,18
JNJ,2026-04-10,0.684372458499348,2
JNJ,2026-04-11,0.09052370432134893,3
JNJ,2026-04-12,-0.29329554394789437,1
JNJ,2026-04-13,-0.19800396070714968,5
JNJ,2026-04-14,0.4144256383731369,3
JNJ,2026-04-15,-0.05339560916755315,2
JNJ,2026-04-16,0.11094230451662461,3
JNJ,2026-04-17,0.2321634475266857,3
JNJ,2026-04-18,0.5231568200204197,2
JNJ,2026-04-20,0.06297497996066603,3
JNJ,2026-04-21,0.1347868094844648,7
JNJ,2026-04-22,0.18086754345707584,5
JNJ,2026-04-23,-0.40963035655917307,3
JNJ,2026-04-24,-0.8873934486363253,1
JPM,2026-04-16,-0.7542313209103374,2
JPM,2026-04-17,0.21779074310976762,13
JPM,2026-04-18,0.35493803855657147,3
JPM,2026-04-19,0.13528098109613662,2
JPM,2026-04-20,0.03816713951915185,2
JPM,2026-04-21,-0.002803852665604145,5
JPM,2026-04-22,-0.1804607805855587,2
JPM,2026-04-23,-0.4965488917166166,3
JPM,2026-04-24,0.26845730503052423,2
META,2026-04-23,-0.10641192893633755,21
META,2026-04-24,-0.026653630280470297,13
MSFT,2026-04-23,0.12386161767467299,9
MSFT,2026-04-24,-0.2582091660867158,17
NFLX,2026-04-23,-0.34382219533997316,6
NFLX,2026-04-24,-0.1368107300211192,3
NVDA,2026-04-24,-0.10716986095922647,20
PFE,2026-04-20,0.17498871361479867,5
PFE,2026-04-21,0.15562024126648286,7
PFE,2026-04-22,0.35358882695334637,4
PFE,2026-04-23,0.290406269657891,4
PFE,2026-04-24,0.10627933489159787,3
PLTR,2026-04-23,0.03745180430868792,6
PLTR,2026-04-24,-0.5269397191536134,11
PYPL,2026-04-20,-0.21492406242588258,2
PYPL,2026-04-21,-0.17771496120660327,11
PYPL,2026-04-22,0.11493552637939519,3
PYPL,2026-04-23,0.04235034557693932,6
PYPL,2026-04-24,0.396710319851031,4
QCOM,2026-04-15,-0.0033313467946027853,2
QCOM,2026-04-17,-0.5999606697855385,2
QCOM,2026-04-18,0.21557282952681223,2
QCOM,2026-04-19,0.16869330703554902,4
QCOM,2026-04-20,0.28960531283413204,3
QCOM,2026-04-21,0.7891700774465765,2
QCOM,2026-04-22,-0.3183929194939643,1
QCOM,2026-04-23,0.040699148964137656,3
QCOM,2026-04-24,0.6986364219391971,3
RIVN,2026-04-22,-0.6553602575967403,1
RIVN,2026-04-23,-0.249122934350748,10
RIVN,2026-04-24,-0.3670601325309448,3
SHOP,2026-04-10,-0.5199857132384547,2
SHOP,2026-04-12,-0.3961774134029895,2
SHOP,2026-04-13,0.25932042938501154,3
SHOP,2026-04-15,-0.17539518789531913,3
SHOP,2026-04-16,0.7910852176437807,3
SHOP,2026-04-17,0.6255991345150052,1
SHOP,2026-04-20,-0.25871570586621817,1
SHOP,2026-04-22,0.3609103742572958,2
SHOP,2026-04-23,-0.29317928498474494,5
SPOT,2026-03-06,-0.9469773789167564,1
SPOT,2026-03-12,0.2848385564126312,1
SPOT,2026-03-16,-0.8588625051991403,1
SPOT,2026-03-17,-0.1783719412996253,2
SPOT,2026-03-18,0.7129796823766446,1
SPOT,2026-03-19,0.006272517160175406,1
SPOT,2026-03-20,0.25171983142847276,1
SPOT,2026-03-23,-0.25077477074705756,1
SPOT,2026-03-25,-0.909391980455911,1
SPOT,2026-03-26,0.2701873017352876,1
SPOT,2026-04-03,0.23170019610443293,1
SPOT,2026-04-07,-0.20299053120525312,1
SPOT,2026-04-08,-0.13229670152405393,1
SPOT,2026-04-13,-0.24114032279505784,3
SPOT,2026-04-15,-0.42799201026167333,2
SPOT,2026-04-18,0.40731571876004735,1
SPOT,2026-04-22,0.7109211680220144,1
TSLA,2026-04-24,-0.05012378128052031,4
UBER,2026-04-22,-0.5489293279730906,7
UBER,2026-04-23,0.03132080866214215,2
UBER,2026-04-24,0.2922509692071692,2
WMT,2026-04-17,0.03629703463474265,5
WMT,2026-04-18,0.18718490710809732,1
WMT,2026-04-20,-0.2514744250732865,5
WMT,2026-04-21,-0.32443074056317883,9
WMT,2026-04-22,0.03589407502442495,6
WMT,2026-04-23,-0.14734470509736639,7
WMT,2026-04-24,0.032514644163470996,4
XOM,2026-04-17,0.34473736575950015,5
XOM,2026-04-18,0.03887844021593062,4
XOM,2026-04-19,-0.283674563934319,1
XOM,2026-04-20,0.06232318240904766,4
XOM,2026-04-21,0.19183860000778266,6
XOM,2026-04-22,0.6661323388427682,6
XOM,2026-04-23,-0.8872490066981458,1
XOM,2026-04-24,-0.0023757806127602255,4
